"구분별(1)",구분별(2),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"이용률",소계,70.3,57.6,58.3,65.2,65.3,66.1,65.5,64.2,65.4,79.7
"SNS 유형별 이용 현황",프로필 기반 서비스 ,21.7,90.5,94.5,81.7,-,-,-,-,-,-
"SNS 유형별 이용 현황",커뮤니티(카페/클럽등),77.1,-,23.7,42.7,-,-,-,-,-,-
"SNS 유형별 이용 현황",블로그,84.4,28.0,19.3,35.3,14.7,23.8,14.1,20.1,26.2,13.0
"SNS 유형별 이용 현황",미니홈피,66.3,28.3,13.9,27.9,-,-,-,-,-,-
"SNS 유형별 이용 현황",마이크로블로그,16.1,28.9,18.4,10.6,-,-,-,-,-,-
"SNS 유형별 이용 현황",페이스북,-,-,-,-,67.1,58.7,63.6,68.9,59.6,61.3
"SNS 유형별 이용 현황", 카카오스토리,-,-,-,-,66.7,53.5,58.0,37.4,29.0,30.4
"SNS 유형별 이용 현황", 인스타그램,-,-,-,-,31.6,36.5,42.1,53.0,52.0,57.7
"SNS 유형별 이용 현황", 네이버 밴드,-,-,-,-,32.9,30.0,30.2,33.6,22.8,30.7
"SNS 유형별 이용 현황", 카페(네이버 다음 등),-,-,-,-,11.4,16.4,13.3,17.9,19.9,-
"SNS 유형별 이용 현황", 트위터,-,-,-,-,5.3,7.0,10.1,7.2,13.4,8.3
"SNS 유형별 이용 현황",구글플러스,-,-,-,-,0.7,1.3,1.4,-,-,-
"SNS 유형별 이용 현황",기타 서비스,-,8.5,0.5,16.2,12.1,11.3,1.7,-,-,4
