연도,남,여
1985,3837129,251392
1986,4337394,314473
1987,4873692,395802
1988,5627843,563978
1989,6416386,774081
1990,7503101,1040802
1991,8454630,1389726
1992,9733430,1879870
1993,10910128,2391482
1994,11904012,2985750
1995,12716700,3687059
1996,13418221,4302612
1997,13867171,4665001
1998,14585135,4963867
1999,12077482,5341396
2000,12701997,5995349
2001,13204159,6680178
2002,13832346,7390664
2003,14111888,7950569
2004,14362104,8372949
2005,14744888,8752769
2006,14992244,9095985
2007,15248126,9433314
2008,15554394,9713985
2009,15817223,10004926
2010,16074165,10328199
2011,16474240,10776913
2012,16933257,11330060
2013,17227765,11620275
2014,17557803,11986442
2015,17920583,12373038
2016,18291984,12898375
2017,18495975,13169418
2018,18731410,13429671
2019,18936859,13712725
2020,19142665,14047900
2021,19334997,14394809
