연번,호선,역번호,역명,2022년1월,2022년2월,2022년3월,2022년4월,2022년5월
1,1,150,서울역(1),2139094,1777728,1942521,2340003,2767047
2,1,151,시청(1),1016011,873746,1009395,1159393,1303216
3,1,152,종각,1626882,1335408,1501363,1720022,1985267
4,1,153,종로3가(1),1258090,1062723,1186762,1360957,1520565
5,1,154,종로5가,1112653,948585,1098511,1238006,1350508
6,1,155,동대문(1),579385,490410,565008,636898,707278
7,1,156,신설동(1),689637,595788,680969,742981,796498
8,1,157,제기동,971569,739273,875719,979864,1036805
9,1,158,청량리,1083534,881588,1024250,1129222,1242639
10,1,159,동묘앞(1),502544,421582,493644,575283,627918
11,2,201,시청(2),1038259,882803,979737,1111224,1235649
12,2,202,을지로입구,1899368,1548679,1736503,1974377,2223928
13,2,203,을지로3가(2),1056052,863936,975027,1141953,1274176
14,2,204,을지로4가(2),611785,513181,592804,655356,708776
15,2,205,동대문역사문화공원(2),677892,570697,686578,739956,832339
16,2,206,신당(2),728131,626384,706124,795539,852428
17,2,207,상왕십리,709188,607753,683864,747664,809856
18,2,208,왕십리(2),754912,648039,773964,847349,946767
19,2,209,한양대,334965,299223,694311,708755,850333
20,2,210,뚝섬,1121639,952525,1068311,1289915,1342393
21,2,211,성수,1901201,1614736,1812043,2015674,2160388
22,2,212,건대입구(2),1981180,1653121,1922326,2177831,2409466
23,2,213,구의,1195904,1028475,1154570,1250497,1333922
24,2,214,강변,1574998,1321986,1433602,1668802,1938983
25,2,215,잠실나루,683280,576425,650176,739382,815225
26,2,216,잠실(2),3670407,2992206,3253702,4335134,4380830
27,2,217,잠실새내,1097162,926433,1030240,1177171,1290105
28,2,218,종합운동장(2),400923,335794,488475,661894,913850
29,2,219,삼성,2550605,2123689,2307890,2574748,2887191
30,2,220,선릉,2480145,2077342,2338764,2578954,2798331
31,2,221,역삼,2586652,2137236,2341405,2580118,2798202
32,2,222,강남,4354852,3601249,3885981,4324349,4710233
33,2,223,교대(2),1705675,1444429,1634052,1815644,1979870
34,2,224,서초,1030418,867687,969676,1091423,1186801
35,2,225,방배,814561,685041,900986,983680,1068585
36,2,226,사당(2),1981832,1679057,1895195,2196187,2472075
37,2,227,낙성대,1374504,1178825,1360235,1479025,1608307
