연령별(1),연령별(2),아내,남편
서울특별시,소계,38051,37012
서울특별시,15세,2,-
서울특별시,16세,-,2
서울특별시,17세,9,2
서울특별시,18세,15,5
서울특별시,19세,42,8
서울특별시,20세,64,21
서울특별시,21세,90,35
서울특별시,22세,147,66
서울특별시,23세,256,130
서울특별시,24세,459,198
서울특별시,25세,881,374
서울특별시,26세,1451,712
서울특별시,27세,2340,1156
서울특별시,28세,3142,1865
서울특별시,29세,3873,2593
서울특별시,30세,3764,3011
서울특별시,31세,3420,3182
서울특별시,32세,3044,3161
서울특별시,33세,2577,3043
서울특별시,34세,1945,2590
서울특별시,35세,1671,2248
서울특별시,36세,1204,1842
서울특별시,37세,1141,1599
서울특별시,38세,849,1342
서울특별시,39세,727,1123
서울특별시,40세,545,852
서울특별시,41세,469,660
서울특별시,42세,311,474
서울특별시,43세,239,405
서울특별시,44세,239,368
서울특별시,45세,216,314
서울특별시,46세,176,282
서울특별시,47세,202,238
서울특별시,48세,188,229
서울특별시,49세,167,231
서울특별시,50세,165,193
서울특별시,51세,178,161
서울특별시,52세,161,167
서울특별시,53세,143,158
서울특별시,54세,128,142
서울특별시,55세,100,129
서울특별시,56세,108,119
서울특별시,57세,97,121
서울특별시,58세,107,129
서울특별시,59세,109,132
서울특별시,60세,117,127
서울특별시,61세,96,126
서울특별시,62세,85,104
서울특별시,63세,71,81
서울특별시,64세,66,66
서울특별시,65세,57,79
서울특별시,66세,41,68
서울특별시,67세,39,46
서울특별시,68세,54,40
서울특별시,69세,34,42
서울특별시,70세,23,35
서울특별시,71세,40,42
서울특별시,72세,20,40
서울특별시,73세,17,43
서울특별시,74세,25,30
서울특별시,75세,19,19
서울특별시,76세이상,86,212
서울특별시,미상,-,
